Time,1,2,3,4
2.741500,-2.528571,1.220690,-5.304425,-0.942991
2.742000,10.414286,-1.637931,-3.896460,7.557944
2.742500,11.852381,-3.067241,-16.568142,-3.776636
2.743000,11.852381,-4.496552,-3.896460,-2.359813
2.743500,14.728571,-3.067241,3.143363,0.473832
2.744000,11.852381,-15.931034,-8.120354,3.307477
2.744500,10.414286,-15.931034,-13.752212,3.307477
2.745000,7.538095,9.796552,-9.528319,4.724299
2.745500,14.728571,-8.784483,-9.528319,8.974766
2.746000,-3.966667,-4.496552,-12.344248,7.557944
2.746500,3.223810,-4.496552,-9.528319,4.724299
2.747000,10.414286,-7.355172,-9.528319,23.142991
2.747500,11.852381,-4.496552,-5.304425,-3.776636
2.748000,11.852381,-3.067241,-13.752212,1.890654
2.748500,11.852381,-1.637931,-17.976106,-2.359813
2.749000,11.852381,-4.496552,-6.712389,-0.942991
2.749500,10.414286,-0.208621,-5.304425,0.473832
2.750000,11.852381,-15.931034,-5.304425,1.890654
2.750500,11.852381,5.508621,-2.488496,3.307477
2.751000,14.728571,-1.637931,-1.080531,3.307477
2.751500,-1.090476,-4.496552,1.735398,6.141121
2.752000,13.290476,-4.496552,1.735398,3.307477
2.752500,3.223810,-8.784483,-1.080531,1.890654
2.753000,11.852381,-5.925862,0.327434,3.307477
2.753500,11.852381,-7.355172,-5.304425,-8.027103
2.754000,10.414286,-5.925862,11.591150,-0.942991
2.754500,11.852381,-5.925862,-13.752212,-0.942991
2.755000,10.414286,-17.360345,-1.080531,1.890654
2.755500,10.414286,9.796552,0.327434,-0.942991
2.756000,10.414286,-10.213793,-2.488496,0.473832
2.756500,10.414286,-7.355172,-3.896460,0.473832
2.757000,16.166667,-5.925862,-2.488496,-0.942991
2.757500,23.357143,-5.925862,-5.304425,0.473832
2.758000,1.785714,-4.496552,-2.488496,-2.359813
2.758500,11.852381,-5.925862,-5.304425,13.225234
2.759000,8.976190,-5.925862,-6.712389,-8.027103
2.759500,10.414286,-5.925862,-10.936283,3.307477
2.760000,10.414286,-4.496552,-5.304425,3.307477
2.760500,10.414286,-8.784483,-8.120354,3.307477
2.761000,11.852381,-3.067241,-3.896460,1.890654
2.761500,10.414286,-7.355172,-6.712389,1.890654
2.762000,-1.090476,-0.208621,-6.712389,1.890654
2.762500,21.919048,-1.637931,-8.120354,3.307477
2.763000,3.223810,-3.067241,-8.120354,-8.027103
2.763500,10.414286,-3.067241,-8.120354,20.309346
2.764000,4.661905,-5.925862,-10.936283,-8.027103
2.764500,10.414286,-4.496552,-5.304425,-9.443925
2.765000,8.976190,-4.496552,-15.160177,-0.942991
2.765500,8.976190,-4.496552,-8.120354,4.724299
2.766000,8.976190,-5.925862,-8.120354,3.307477
2.766500,10.414286,-7.355172,-5.304425,6.141121
2.767000,10.414286,-4.496552,-5.304425,7.557944
2.767500,1.785714,-4.496552,-8.120354,4.724299
2.768000,16.166667,-3.067241,-6.712389,4.724299
2.768500,10.414286,-4.496552,-6.712389,-3.776636
2.769000,10.414286,-3.067241,-12.344248,13.225234
2.769500,10.414286,-3.067241,3.143363,1.890654
2.770000,8.976190,-1.637931,-17.976106,0.473832
2.770500,10.414286,-5.925862,-9.528319,-0.942991
2.771000,4.661905,1.220690,-12.344248,-3.776636
2.771500,11.852381,-8.784483,-9.528319,-0.942991
2.772000,6.100000,-0.208621,-13.752212,-0.942991
2.772500,11.852381,-0.208621,-9.528319,0.473832
2.773000,-3.966667,1.220690,-12.344248,-5.193458
2.773500,27.671429,-0.208621,-9.528319,0.473832
